"日期","收市","開市","高","低","成交量","更改%"
"2021年12月15日","48,151.0","48,408.0","48,770.0","47,881.0","5.32K","-0.53%"
"2021年12月14日","48,408.0","46,777.0","48,656.0","46,356.2","5.48K","3.49%"
"2021年12月13日","46,777.0","50,123.0","50,222.7","45,790.0","8.71K","-6.68%"
"2021年12月12日","50,123.0","49,363.1","50,800.0","48,692.0","3.87K","1.54%"
"2021年12月11日","49,363.1","47,170.0","49,510.0","46,897.0","5.29K","4.65%"
"2021年12月10日","47,170.0","47,611.0","50,105.0","47,060.0","8.17K","-0.93%"
"2021年12月9日","47,611.0","50,503.4","50,824.0","47,408.0","5.28K","-5.73%"
"2021年12月8日","50,503.4","50,634.0","51,239.0","48,760.0","4.03K","-0.26%"
"2021年12月7日","50,634.0","50,566.6","51,969.0","50,102.0","3.91K","0.13%"
"2021年12月6日","50,566.6","49,469.0","50,974.0","47,295.0","8.05K","2.22%"
"2021年12月5日","49,469.0","49,272.0","49,752.0","47,860.0","4.78K","0.40%"
"2021年12月4日","49,272.0","53,709.0","53,879.0","42,101.0","22.58K","-8.26%"
"2021年12月3日","53,709.0","56,517.0","57,599.0","52,062.0","10.73K","-4.97%"
"2021年12月2日","56,517.0","57,250.0","57,389.0","55,842.0","4.41K","-1.28%"
"2021年12月1日","57,250.0","56,938.0","59,055.0","56,505.0","5.18K","0.55%"
"2021年11月30日","56,938.0","57,845.0","59,174.0","55,940.0","6.47K","-1.57%"
"2021年11月29日","57,845.0","57,325.0","58,886.0","56,772.0","5.07K","0.91%"
"2021年11月28日","57,325.0","54,836.0","57,469.0","53,482.0","4.94K","4.54%"
"2021年11月27日","54,836.0","53,738.0","55,329.0","53,711.0","3.09K","2.04%"
"2021年11月26日","53,738.0","58,995.0","59,229.0","53,565.0","12.19K","-8.91%"
"2021年11月25日","58,995.0","57,209.0","59,423.4","57,070.0","3.98K","3.12%"
"2021年11月24日","57,209.0","57,602.0","57,762.0","55,916.9","4.89K","-0.68%"
"2021年11月23日","57,602.0","56,299.0","57,866.2","55,460.0","8.56K","2.31%"
"2021年11月22日","56,299.0","58,790.0","59,407.0","55,714.0","8.83K","-4.24%"
"2021年11月21日","58,790.0","59,739.0","60,047.0","58,624.0","2.44K","-1.59%"
"2021年11月20日","59,739.0","58,130.0","59,886.0","57,494.4","3.13K","2.77%"
"2021年11月19日","58,130.0","56,932.0","58,379.0","55,670.0","5.18K","1.96%"
