日期,收市,開市,高,低,成交量,更改%
2021/12/15,"1,769.75","1,772.80","1,774.20","1,769.60",-,-0.14%
2021/12/14,"1,772.30","1,787.60","1,789.80","1,766.10",-,-0.89%
2021/12/13,"1,788.30","1,784.20","1,792.80","1,782.20",106.06K,0.20%
2021/12/10,"1,784.80","1,776.30","1,791.00","1,770.40",142.00K,0.46%
2021/12/9,"1,776.70","1,784.30","1,788.40","1,773.30",123.97K,-0.49%
2021/12/8,"1,785.50","1,785.10","1,794.30","1,780.10",109.69K,0.04%
2021/12/7,"1,784.70","1,779.50","1,789.30","1,772.40",129.89K,0.29%
2021/12/6,"1,779.50","1,787.70","1,789.00","1,776.40",104.48K,-0.25%
2021/12/3,"1,783.90","1,769.40","1,788.00","1,766.00",175.18K,1.20%
2021/12/2,"1,762.70","1,783.80","1,785.20","1,762.20",172.72K,-1.21%
2021/12/1,"1,784.30","1,777.40","1,795.70","1,773.70",180.34K,0.44%
2021/11/30,"1,776.50","1,786.90","1,811.40","1,771.20",242.86K,-0.49%
2021/11/29,"1,785.20","1,795.20","1,801.50","1,782.00",151.37K,-0.16%
2021/11/26,"1,788.10","1,792.30","1,819.30","1,781.60",180.64K,-0.24%
2021/11/25,"1,792.40","1,789.80","1,795.30","1,787.75",-,0.31%
2021/11/24,"1,786.90","1,792.30","1,798.80","1,780.20",103.43K,0.03%
2021/11/23,"1,786.30","1,808.70","1,815.20","1,784.30",150.81K,-1.26%
2021/11/22,"1,809.10","1,850.70","1,853.00","1,805.30",140.29K,-2.44%
2021/11/19,"1,854.30","1,863.80","1,870.50","1,847.00",62.34K,-0.52%
2021/11/18,"1,864.00","1,871.70","1,875.90","1,859.40",50.58K,-0.47%
2021/11/17,"1,872.80","1,854.50","1,873.10","1,853.80",34.03K,0.87%
2021/11/16,"1,856.70","1,867.40","1,881.90","1,853.50",24.65K,-0.67%
2021/11/15,"1,869.20","1,876.30","1,876.30","1,861.00",87.36K,-0.09%
2021/11/12,"1,870.80","1,866.30","1,873.30","1,849.90",28.48K,0.24%
2021/11/11,"1,866.30","1,853.90","1,870.80","1,847.60",47.68K,0.85%
2021/11/10,"1,850.60","1,835.70","1,872.80","1,825.20",73.44K,0.97%
2021/11/9,"1,832.90","1,828.40","1,836.90","1,823.20",54.48K,0.15%
2021/11/8,"1,830.20","1,822.20","1,830.40","1,815.90",39.67K,0.62%
2021/11/5,"1,819.00","1,794.80","1,822.20","1,787.60",48.24K,1.30%
2021/11/4,"1,795.60","1,773.00","1,802.20","1,773.00",8.08K,1.68%
2021/11/3,"1,766.00","1,791.00","1,791.00","1,761.00",6.75K,-1.42%
2021/11/2,"1,791.50","1,796.70","1,799.40","1,789.70",7.90K,-0.36%
2021/11/1,"1,797.90","1,786.80","1,799.50","1,782.90",11.68K,0.67%
2021/10/29,"1,785.90","1,803.30","1,804.20","1,774.60",9.21K,-1.04%
2021/10/28,"1,804.70","1,799.90","1,814.60","1,795.20",12.55K,0.22%
2021/10/27,"1,800.80","1,796.50","1,802.70","1,786.70",2.79K,0.30%
2021/10/26,"1,795.40","1,810.80","1,811.20","1,784.90",3.37K,-0.74%
2021/10/25,"1,808.80","1,796.40","1,813.30","1,795.30",6.08K,0.58%
2021/10/22,"1,798.30","1,786.80","1,817.50","1,785.60",12.85K,0.81%
2021/10/21,"1,783.80","1,784.50","1,791.60","1,780.00",1.02K,-0.17%
2021/10/20,"1,786.80","1,771.50","1,791.10","1,771.10",4.21K,0.81%
2021/10/19,"1,772.40","1,766.80","1,787.70","1,765.60",1.56K,0.27%
2021/10/18,"1,767.60","1,769.50","1,773.60","1,762.80",1.57K,-0.15%
2021/10/15,"1,770.20","1,799.40","1,799.40","1,767.00",3.80K,-1.64%
2021/10/14,"1,799.80","1,795.70","1,803.60","1,789.90",4.07K,0.17%
2021/10/13,"1,796.70","1,761.90","1,798.40","1,760.00",5.67K,2.02%
2021/10/12,"1,761.20","1,755.70","1,771.70","1,753.80",4.82K,0.20%
2021/10/11,"1,757.70","1,760.30","1,762.30","1,752.10",4.27K,-0.10%
2021/10/8,"1,759.40","1,756.40","1,783.20","1,755.60",7.54K,-0.10%
2021/10/7,"1,761.10","1,765.70","1,769.30","1,754.50",5.37K,-0.15%
2021/10/6,"1,763.70","1,762.40","1,767.40","1,747.90",3.61K,0.05%
2021/10/5,"1,762.80","1,772.90","1,772.90","1,751.10",4.83K,-0.37%
2021/10/4,"1,769.40","1,762.40","1,772.60","1,749.70",2.67K,0.53%
2021/10/1,"1,760.10","1,759.10","1,766.40","1,751.60",5.81K,0.09%
2021/9/30,"1,758.50","1,728.10","1,766.30","1,724.50",15.87K,1.95%
2021/9/29,"1,724.90","1,736.00","1,747.60","1,723.70",2.05K,-0.84%
2021/9/28,"1,739.50","1,752.80","1,755.60","1,729.90",2.58K,-0.83%
2021/9/27,"1,754.00","1,754.20","1,762.60","1,748.00",1.82K,0.01%
2021/9/24,"1,753.80","1,746.00","1,759.90","1,743.00",1.77K,0.11%
2021/9/23,"1,751.80","1,771.40","1,778.60","1,740.00",2.14K,-1.64%
2021/9/22,"1,781.00","1,777.10","1,789.70","1,767.20",2.85K,0.04%
2021/9/21,"1,780.30","1,767.80","1,784.60","1,761.30",2.22K,0.82%
2021/9/20,"1,765.90","1,755.60","1,770.00","1,745.60",3.38K,0.71%
2021/9/17,"1,753.40","1,756.80","1,769.10","1,750.00",2.61K,-0.30%
2021/9/16,"1,758.70","1,798.10","1,798.60","1,747.50",1.68K,-2.13%
2021/9/15,"1,796.90","1,808.30","1,809.60","1,794.10",0.93K,-0.68%
2021/9/14,"1,809.20","1,796.40","1,812.70","1,783.00",1.75K,0.71%
2021/9/13,"1,796.50","1,791.30","1,802.10","1,786.80",3.76K,0.13%
2021/9/10,"1,794.20","1,797.90","1,807.70","1,790.40",2.89K,-0.44%
2021/9/9,"1,802.10","1,793.60","1,804.80","1,787.80",5.86K,0.36%
2021/9/8,"1,795.70","1,798.90","1,805.50","1,785.60",2.03K,-0.27%
2021/9/7,"1,800.60","1,834.00","1,834.00","1,796.00",3.45K,-1.37%
2021/9/6,"1,825.65","1,829.95","1,830.65","1,823.65",-,-0.24%
2021/9/5,"1,830.05","1,832.20","1,832.50","1,829.65",-,-0.31%
2021/9/3,"1,835.70","1,813.50","1,838.70","1,813.50",3.62K,1.23%
2021/9/2,"1,813.40","1,818.40","1,821.00","1,809.50",2.29K,-0.25%
2021/9/1,"1,818.00","1,818.60","1,824.30","1,813.80",2.59K,-0.12%
2021/8/31,"1,820.10","1,814.40","1,821.80","1,806.60",0.79K,0.33%
2021/8/30,"1,814.20","1,822.90","1,828.00","1,812.60",0.41K,-0.40%
2021/8/27,"1,821.50","1,796.70","1,823.70","1,788.70",0.88K,1.35%
2021/8/26,"1,797.20","1,795.20","1,802.10","1,783.40",0.97K,0.23%
2021/8/25,"1,793.00","1,805.90","1,805.90","1,787.00",0.44K,-0.97%
2021/8/24,"1,810.50","1,809.50","1,814.00","1,805.30",0.59K,0.12%
2021/8/23,"1,808.30","1,783.80","1,810.30","1,780.20",1.26K,1.25%
2021/8/20,"1,786.00","1,784.20","1,792.30","1,782.00",0.70K,0.05%
2021/8/19,"1,785.10","1,791.50","1,796.30","1,776.60",2.50K,-0.07%
2021/8/18,"1,786.40","1,790.40","1,797.50","1,784.10",1.23K,-0.19%
2021/8/17,"1,789.80","1,791.00","1,799.00","1,785.00",1.72K,-0.12%
2021/8/16,"1,791.90","1,782.40","1,793.00","1,775.20",0.68K,0.65%
2021/8/13,"1,780.30","1,759.80","1,783.50","1,758.50",0.97K,1.51%
2021/8/12,"1,753.80","1,754.60","1,760.50","1,745.30",2.63K,-0.09%
2021/8/11,"1,755.40","1,732.30","1,757.80","1,728.00",3.17K,1.25%
2021/8/10,"1,733.70","1,734.00","1,740.40","1,720.70",3.72K,0.30%
2021/8/9,"1,728.60","1,766.00","1,766.40","1,680.00",3.69K,-2.07%
2021/8/6,"1,765.10","1,806.80","1,806.80","1,762.00",3.61K,-2.53%
2021/8/5,"1,810.90","1,816.60","1,818.90","1,802.10",0.83K,-0.30%
2021/8/4,"1,816.40","1,820.40","1,837.40","1,811.10",1.57K,0.02%
2021/8/3,"1,816.10","1,817.90","1,819.20","1,811.80",1.46K,-0.44%
2021/8/2,"1,824.20","1,818.60","1,825.10","1,811.30",1.28K,0.28%
